,10,20,30,40,50,60,70,80,90,95,99,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,99.95,100
cassandra,1,2,16,58,130,245,463,972,2236,3745,7654,7824,8066,8385,8761,9091,9803,10147,10764,11943,12236,14664
drupal,4,18,43,75,124,213,395,709,1626,3205,8927,9199,9387,9675,9976,10339,10791,11366,12347,13022,13330,15255
finagle-chirper,6,37,81,161,333,630,1117,2041,3841,5781,10618,11090,11435,11865,12359,12719,13692,14445,15355,17190,17908,20705
finagle-http,0,1,3,16,42,119,285,744,2215,4052,9420,9733,10086,10620,11067,11560,12660,13708,15152,18058,18684,22683
kafka,3,22,59,129,234,441,858,1842,4098,6569,14119,14437,14835,15261,16207,16628,17931,18408,21527,22247,25018,28907
mediawiki,5,18,39,72,129,210,407,773,1989,3639,8927,9310,9614,10003,10380,10976,11539,12494,13398,14307,14759,17443
tomcat,8,40,125,224,410,775,1363,2346,4397,6065,9257,9433,9582,10013,10215,10488,10747,11518,11885,12408,12553,14260
verilator,11,77,1439,3251,5064,6878,8876,10691,12508,13416,14142,14161,14180,14201,14224,14251,14286,14325,14385,14489,14576,15153
wordpress,8,26,56,98,154,247,403,730,1413,2251,6478,6910,7249,7670,8211,8708,9163,9861,10724,11555,11819,13851
