,LRU,SRRIP,Thermometer,OPT
cassandra;1K,1.58046,1.61441,1.70915,1.89749
cassandra;2K,1.90192,1.94419,2.02649,2.22644
cassandra;4K,2.31296,2.34587,2.41027,2.54578
cassandra;8K,2.66783,2.68017,2.70657,2.76175
cassandra;16K,2.82239,2.82368,2.83175,2.84216
cassandra;32K,2.85582,2.85572,2.85713,2.85877
drupal;1K,1.86941,1.90244,1.97475,2.17093
drupal;2K,2.18579,2.21393,2.3084,2.46587
drupal;4K,2.51862,2.53585,2.61267,2.70172
drupal;8K,2.75272,2.76633,2.81588,2.85094
drupal;16K,2.88071,2.8838,2.90137,2.91137
drupal;32K,2.91962,2.9201,2.92367,2.92515
tomcat;1K,1.42373,1.43574,1.43298,1.60956
tomcat;2K,1.57633,1.57942,1.59977,1.77278
tomcat;4K,1.73957,1.76114,1.81828,1.98674
tomcat;8K,2.0373,2.07377,2.12205,2.21988
tomcat;16K,2.28373,2.29599,2.31078,2.33343
tomcat;32K,2.35364,2.35446,2.35653,2.35868
