,LRU,SRRIP,Thermometer,OPT
cassandra;64,2.3354,2.3431,2.35919,2.39317
cassandra;128,2.62879,2.64065,2.66435,2.71592
cassandra;192,2.66783,2.68017,2.70657,2.76175
cassandra;256,2.67303,2.68564,2.71224,2.76816
drupal;64,2.57239,2.58303,2.61946,2.64679
drupal;128,2.73026,2.7434,2.79045,2.82408
drupal;192,2.75272,2.76633,2.81588,2.85094
drupal;256,2.75571,2.76885,2.81881,2.85394
tomcat;64,1.9403,1.97241,2.01237,2.09017
tomcat;128,2.02537,2.06177,2.10891,2.2042
tomcat;192,2.0373,2.07377,2.12205,2.21988
tomcat;256,2.03372,2.07064,2.11873,2.21714
