,SRRIP,Thermometer
cassandra;64,13.328717327332956,41.18054353470649
cassandra;128,13.611844370480846,40.812578905084585
cassandra;192,13.138841567291298,41.24787052810916
cassandra;256,13.255545043624503,41.21728161463274
drupal;64,14.301075268817135,63.266129032258085
drupal;128,14.005542528245499,64.1547644425495
drupal;192,13.856648340460092,64.304622276522
drupal;256,13.376768807899749,64.23699480810333
tomcat;64,21.425235203843368,48.08834323080018
tomcat;128,20.354526645417423,46.714757031817754
tomcat;192,19.974805564684,46.41800854419993
tomcat;256,20.128666448587865,46.34718133246081
