,Training-profile,Same-input-profile
cassandra;\#1,26.07913669,22.35836331
cassandra;\#2,32.44692258,32.91872185
cassandra;\#3,16.10587227,21.48521217
drupal;\#1,66.32151865,66.48081774
drupal;\#2,62.43127673,64.10099776
drupal;\#3,71.53652393,74.23646096
finagle-chirper;\#1,71.05263158,11.84210526
finagle-chirper;\#2,80.59701493,32.08955224
finagle-chirper;\#3,65.67164179,32.08955224
finagle-http;\#1,125,100
finagle-http;\#2,108.3333333,100
finagle-http;\#3,83.33333333,100
kafka;\#1,39.55281419,53.62374711
kafka;\#2,18.2683914,32.29902389
kafka;\#3,17.05420205,32.29902389
mediawiki;\#1,54.60468613,54.54203734
mediawiki;\#2,53.31412104,54.54203734
mediawiki;\#3,53.34251377,54.88232349
tomcat;\#1,80,70
tomcat;\#2,70,70
tomcat;\#3,70,70
verilator;\#1,112.2550702,99.9560556
verilator;\#2,109.3401676,99.87795948
verilator;\#3,108.3003291,99.68073437
wordpress;\#1,69.01516117,65.93196586
wordpress;\#2,58.87096774,59.11290323
wordpress;\#3,58.72311828,59.11290323
