,Thermometer-training-profile,Thermometer-same-input-profile,OPT
cassandra;\#1,0.935989607,0.802449711,3.589036011
cassandra;\#2,0.48356734,0.490598722,1.490333447
cassandra;\#3,0.68241875,0.910345704,4.237080356
drupal;\#1,1.667540045,1.671545345,2.514327293
drupal;\#2,2.227614868,2.287192304,3.568107181
drupal;\#3,3.313414443,3.438469588,4.631780049
finagle-chirper;\#1,0.011925189,0.001987532,0.0167836
finagle-chirper;\#2,0.024183797,0.009628734,0.030005822
finagle-chirper;\#3,0.019705316,0.009628734,0.030005822
finagle-http;\#1,0.003502889,0.002802311,0.002802311
finagle-http;\#2,0.003035837,0.002802311,0.002802311
finagle-http;\#3,0.002335259,0.002802311,0.002802311
kafka;\#1,0.670229028,0.908663331,1.694516664
kafka;\#2,0.941286152,1.664220086,5.152539878
kafka;\#3,0.878724561,1.664220086,5.152539878
mediawiki;\#1,1.905128284,1.902942501,3.488946496
mediawiki;\#2,1.860101158,1.902942501,3.488946496
mediawiki;\#3,1.687511386,1.736223871,3.163539299
tomcat;\#1,0.00203297,0.001778848,0.002541212
tomcat;\#2,0.001778848,0.001778848,0.002541212
tomcat;\#3,0.001778848,0.001778848,0.002541212
verilator;\#1,62.09483534,55.29153208,55.3158403
verilator;\#2,61.44766794,56.13003733,56.19862242
verilator;\#3,62.17913871,57.23031741,57.41361937
wordpress;\#1,1.988758394,1.899912255,2.88162537
wordpress;\#2,1.553814117,1.560199654,2.639355486
wordpress;\#3,1.549911844,1.560199654,2.639355486
